COUNTRY,QRID,weight,QMLangRec,Q2,Q3rec_1,Q3rec_2,Q3rec_3,Q3rec_4,Q3rec_5,Q3rec_6,Q3rec_7,Q3rec_98,Q3rec_99,Q4,Q5,Q6a,Q6b,Q6c,Q6d,Q6e,Q7,Q9,ABORT,Q10,Q11ya,Q11yb,Q11yc,Q11yd,Q11ye,Q11yf,Q11yg,Q11yh,Q11yi,Q11yj,Q12,Q13,Q14a,Q14b,Q14c,Q14d,Q15,Q17a,Q17b,Q18a,Q18b,Q18c,Q18d,Q18e,Q18f,Q19a,Q19b,QW21a,QW21b,QM21a,QM21b,Q22a,Q22b,Q22c,Q23a,Q23b,Q24,Q26,QRELSING,QCASTE,QCASTEb,QHINDU,QSECTrec,QDENOMrec,QSIKHrec,QBUDDHISTrec,QJAIN,QSUFIrec,Q28rec,Q29a,Q29b,q29cdrec,Q29e,Q29f,Q29g,Q29h,Q30a,Q30b,Q30c,q30derec,Q30f,Q30g,Q30h,Q30i,Q30j,Q30k,Q30l,Q3132rec,Q33a,Q33b,Q33c,Q33d,Q33e,Q33f,Q34a,Q34b,Q35,Q36a,Q36b,Q36c,Q37a,Q37b,Q37c,Q37d,Q37e,Q37f,Q37g,Q37h,Q37i,Q38,Q39a,Q39b,Q39c,Q40,QCHRELrec,Q42,Q43a,Q43b,Q43c,Q44rec_1,Q44rec_2,Q44rec_3,Q44rec_4,Q44rec_5,Q44rec_6,Q44rec_7,Q44rec_8,Q44rec_9,Q44rec_10,Q44rec_11,Q44rec_12,Q44rec_13,Q44rec_14,Q44rec_15,Q44rec_16,Q44rec_17,Q44rec_18,Q44rec_98,Q44rec_99,Q45a,Q45b,Q45c,Q46a,Q46b,Q47a,Q47b,Q47c,Q48a,Q48b,Q48c,Q48d,Q48e,Q48f,Q49a,Q49b,Q49c,Q49d,Q49e,Q49f,Q49g,Q49h,Q49i,Q49j,Q49k,Q49l,Q49m,Q49n,Q49o,Q50,Q51,Q52,Q53a,Q53b,Q54a,Q54b,Q55a,Q55b,Q55c,Q55d,Q56a,Q56b,Q56c,Q56d,Q57a,Q57b,Q57c,Q58xa,Q58xb,Q60,QGEN,QDIV,Q61a,Q61b,Q62a,Q62b,Q62c,Q62d,Q62e,Q62f,Q63a,Q63b,Q63c,Q63d,Q63e,Q63f,Q63g,Q65,Q66a,Q66b,Q66c,Q67a,Q67b,Q67c,Q68,Q69a,Q69b,Q69c,Q69d,Q69e,Q69f,Q69g,Q69h,Q69i,Q69j,Q70,Q72a,Q72b,Q72c,Q72d,Q72e,Q72f,Q72g,Q72h,Q72i,Q73a,q73abrec,QAGErec,QFERTrec,QCHGENabrec,QHH1,QHH2,QMARRIEDrec,QSPRELrec,QCHSPRELrec,QHHCH,QCHILDrec,Q74a,Q74b,Q74c,Q74d,Q75,Q76,Q77arec,QEDU,ISCED,QINCINDrec,QINT,QMOBILE,Q78,Q79,Q81,Q82a,Q82b,Q82c,Q82d,QPOVa,QPOVb,QPOVc,Q83,QPTYrec,QPTY2a,QPTY2b,Q85,q85arec,Q86a,Q86b_1,Q86b_2,Q86b_3,Q86b_4,Q86b_5,Q86b_6,Q86b_7,Q86b_8,Q86b_9,Q86b_10,Q86b_11,Q86b_12,Q86b_13,Q86b_14,Q86b_15,Q86b_16,Q86b_17,Q86b_18,Q86b_19,Q86b_20,Q86b_21,Q86b_97,Q86b_98,Q86b_99,Q87,QIV7,REGION,Urban
1,6897,.178553019323729,2,2,2,1,2,2,1,2,2,2,2,3,1,1,1,1,1,1,5,1,3,1,2,2,2,98,98,98,1,1,1,1,4,2,2,4,2,1,3,1,1,2,2,1,3,3,3,1,1,3,3,3,3,3,3,3,2,3,3,3,3,1,97, , ,1, , , ,98,2,1,1,1,1,1,1,1,1,2,1,1, , ,1, ,1,1,2,2,2,1, ,2,2,2,6,7,1,2,2, ,1,1,1,1,1,2,1,2,1,2,7,7,6,2,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , ,2,2,2, , ,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1, , , ,2,2,2,2,1,1,2, , ,1, ,2, ,1,2, , ,1,1,1,1,1,3,3,98,1,3,2,3,2,2, ,98,98,98,1,1, ,1,1,1,1,1,2,2,2,1,1,1,2,4,4,1,1,1,1,1,1,2,3,1,2, , , , , , , , , , ,4,3,2,4,2,1,1,1,1,1,1,1,1,2, ,2,995,9,5,2,1,1,1,1,1,2,1,2,2,2,2,2,2,99,99,99,3,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1
1,6898,.471977811421482,2,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,4,1,3,2,2,1,2,98,98,98,1,1,1,1,4,2,2,4,2,1,2,1,1,1,2,2,4,4,4,1,1,3,3,3,3,3,3,3,2,3,3,3,1,1,97,4, , , , , ,2,2,1,1,1,1,1,2,1,1,1,1,1,1, ,1,1,1, ,1,3, ,2,1,2,2,98,7,6,3,2,2,2,1,1,2,2,2,2,2,1,1,2,7,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2, , ,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1, , ,1,1,1,2,2,2,6,1,1,6,6,1, ,2, ,1,2, , ,1,1,1,1,1,3,3,2,2,1,3,3, ,1,1,98,98,98, ,1,1,1,1,1,1,2,1,2,2,1,1,1,98,4,4,1,3,2,1,4,2,2,3,1,2,1, , , , , , , ,2, ,2,3,2,4,2,1,1,1,1,1,1,1,1,2, ,2,995,9,5,98,1,1,1,1,1,1,1,1,1,2,2,2,2,25,3,3,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,6,2
1,6899,.391542953692066,2,1,1,1,2,2,2,2,2,2,2,3,2,1,1,1,1,1,4,1,4,1,2,1,2,98,98,98,1,1,1,1,2,3,2,4,3,1,4,1,1,1,4,4,4,4,4,1,1,3,3,3,3,3,3,3,2,3,3,1,1,4, ,99, , , , , ,2,3,2,1,1,1,1,4,1,1,1,1,1,1, ,1,1,1, ,1,4, ,2,2,2,2,2,7,7,3,2,2,2,2,1,2,2,2,2,2,1,1,2,6,6,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2, , ,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2, , ,1,2,1,2,2,2,7,1,1,6,6,3, ,2, ,2,2, , ,1,1,1,1,1,3,3,2,2,1,3,3, ,2,2,98,98,98, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,4,4,4,2,2,1,2,2,2,4,2,2,1, , , , , , , ,2, ,3,3,2,4,2,1,1,1,1,1,1,1,2,2, ,2,995,9,5,98,1,1,1,1,2, , , , ,2,2,2,2,25,99,99,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,6,2
1,6900,1.83595287766857,2,1,1,1,2,2,2,2,2,2,2,2,98,1,1,1,1,1,1,1,2,1,98,98,98,98,98,98,98,98,98,1,2,1,3,4,3,1,1,1,1,1,4,4,4,4,4,1,1,4,4,4,4,3,3,3,2,4,3,3,1,4, ,98, , , , , ,2,98,2,1,1,1,1,98,1,98,98,98,98,98, ,98,1,1, ,98,6, ,2,2,2,2,2,7,7,3,2,2,2,1,1,99,2,2,2,98,2,1,2,6,1,6,2,1,98,1,1,98,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2, , ,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1, , ,1,1,1,2,1,1,7,98,98,7,7,6, ,2, ,2,2, , ,1,1,1,1,1,3,3,98,2,1,3,3, ,98,98,98,98,98, ,1,1,1,1,1,1,99,2,2,2,1,1,99,98,4,4,2,1,1,1,2,1,3,3,1,2,1, , , , , , , ,2, ,2,3,1,4,2,1,1,999,1,1,2,98,2,2, ,2,995,9,5,99,1,1,1,1,1,2,2,1,2,2,2,2,2,99,99,99,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,6,1
1,6901,.167531808125049,2,1,2,1,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,3,2,4,2,1,4,1,1,1,2,2,2,4,2,1,1,3,3,3,3,3,3,3,2,4,3,3,1,4, ,4, , , , , ,98,1,1,1,1,1,1,1,1,2,2,1,2,97, ,1,1,1, ,97,3, ,2,2,2,2,2,7,7,2,1,2,2,1,1,1,2,1,2,2,1,1,2,6,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1, , ,1,1,1,2,2,1,6,1,2,5,4,2, ,2, ,1,2, , ,1,1,1,1,1,3,1,2,2,1,2,3, ,2,2,2,2,2, ,1,1,1,1,1,1,3,2,2,2,1,1,1,2,3,3,2,1,1,1,2,1,3,3,1,2,1, , , , , , , ,2, ,3,3,2,4,2,1,1,1,1,1,1,1,1,1, ,2,1,9,5,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,6,2
1,6902,.519218937398706,2,3,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,4,1,4,99,2,2,2,2,2,2,2,2,2,2,4,1,2,4,3,1,4,1,1,3,3,2,98,4,3,1,1,4,4,4,4,3,3,3,3,3,3,3,3,1,97, , ,1, , , ,2,2,3,1,2,3,1,3,1,1,1,1,1, , ,1, ,1,1,1,4,1,2, ,2,2,2,7,4,3,1,2, ,2,1,2,1,1,2,2,2,2,2,5,6,4,2,1,3,1,2,1, , , , , , , , , , , , , , , , , , , , ,1,2,2, , ,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2, , , ,1,1,2,98,6,1,1, , ,2, ,2, ,2,2, , ,1,1,1,1,1,3,4,98,2,2,3,3,1,1, ,1,98,98,1,1, ,1,1,1,1,98,1,2,2,1,1,1,2,4,3,1,1,2,1,2,1,4,4,1,1,2, , , , , , , ,2, ,3,3,2,4,2,1,1,1,2, , , , , , ,1,2,9,5,2,1,1,1,1,1,2,1,1,2,2,2,2,2,25,4,3,3,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1, ,6,1
1,6903,2.0938186599548,1,1,1,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,98,2,98,2,2,1,1,2,2,2,1,4,1,1,1,4,4,2,3,2,1,1,2,3,3,4,3,3,3,2,2,3,3,1,2, ,98, , , , , ,2,5,1,1,1,1,1,1,1,1,1,1,2,2, ,2,1,1, ,1,4, ,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,6,6,1,1,1,1,1,3,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,98, , ,2,98,1,2,2,2,6,1,2,6,6,6, ,2, ,1,2, , ,1,1,1,1,1,3,3,2,1,1,3,4, ,1,1,1,1,1, ,1,1,1,1,1, ,98,2,2,2,1,1,1,2,3,3,1,1,1,1,1,1,1,1,2,1, , , ,2,2, , , , , ,2,3,2,4,2,1,1,1,2, , , , , , ,2,1,9,5,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,3,2
1,6904,1.82300927033478,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,98,2,2,2,2,2,2,98,99,2,1,1,2,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,3,2,2,3,3,1,4, ,2, , , , , ,99,5,1,1,1,1,1,1,1,2,1,1,2,98, ,2,2,2, ,2,3, ,2,2,2,2,2,3,3,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,6,1,3,1,1,1,98,3,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2, , ,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2, , ,2,2,1,2,2,1,3,1,2,3,2,2, ,2, ,2,1, , ,1,1,1,1,1,3,3,99,1,3,1,3, ,1,1,1,1,1, ,3,3,2,3,1,1,98,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2, , , ,2,2, , , , , ,2,3,1,4,2,1,1,1,2, , , , , , ,2,1,9,5,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,1
1,6905,1.3200505569117,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,99,99,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,3,3,3,1,1,3,3,1,4, ,1, , , , , ,98,98,1,1,3,2,2,2,1,2,2,2,2,2, ,2,98,98, ,98,2, ,2,2,2,2,2,5,7,2,1,2,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, , ,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,2, , ,2,2,1,2,2,1,4,2,1,2,4,2, ,1,1, , ,2,1,1,1,2,1,1,3,3,2,2,1,4,4, ,1,1,1,1,1, ,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , ,1, ,3,3,2,4,2,1,1,1,1,1,1,1,2,2, ,1,994,9,5,2,1,1,1,1,1,2,2,1,2,2,2,2,2,98,99,99,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,3,1
1,6906,1.13301527817064,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,4,1,2,2,2,2,2,2,2,2,2,1,2,3,2,2,1,1,4,2,1,2,3,2,2,2,2,1,1,5,5,5,5,3,3,3,2,2,3,2,1,4, ,98, , , , , ,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,2,2,2, ,2,2, ,1,2,2,2,2,5,7,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,7,1,98,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,2,1,1, , ,1,1,1,1,2,1,2,1,2,1,3,2, ,1,2, , ,2,2,2,98,1,1,1,1,1,2,2,1,3,3, ,2,2,98,98,98, ,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , ,1, ,2,3,2,4,2,1,1,1,1,1,1,1,2,2, ,2,1,9,5,2,2,1,1,1,1,2,2,2,2,2,2,2,3,25,1,4,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3,1
1,6907,.326063203961038,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,4,2,3,4,4,1,4,1,1,1,3,4,98,98,98,1,1,1,1,1,1,3,3,3,1,1,3,3,1,4, ,98, , , , , ,2,4,1,1,1,1,1,1,1,2,2,2,2,2, ,2,98,98, ,2,4, ,2,2,2,2,98,7,7,1,1,2,2,1,1,1,2,2,2,2,1,1,2,7,6,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2, , ,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,2, , ,2,2,1,2,2,2,7,1,1,5,5,5, ,2, ,1,1, , ,1,1,1,1,1,3,1,2,1,1,1,1, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2, , , ,2,2, , , , , ,3,3,1,4,2,1,1,1,1,1,3,3,3,3, ,2,1,9,5,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,2
1,6908,.498532361792277,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,4,2,1,1,98,98,98,98,98,1,1,1,1,1,1,3,3,3,1,1,3,3,1,1,2,98, , , , , ,2,3,1,1,1,1,1,1,1,2,2,2,2,2, ,2,2,2, ,2,3, ,2,2,2,2,2,7,7,1,1,2,1,1,1,1,1,2,2,1,1,1,2,7,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,98,2,2,2,1,1,2,2,2,2,1,1,2,2,2, , ,2,2,2,2,2,1,7,98,1,3,5,5, ,1,2, , ,1,2,2,2,1,1,1,3,3,2,1,2,2,2, ,2,2,2,2,2, ,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1, , , ,2,2, , , , , ,3,3,2,4,2,1,1,1,1,1,1,1,2,2, ,2,995,9,5,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,4,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,1
1,6909,.424238178302993,2,4,1,2,2,2,2,2,2,2,2,2,98,1,1,1,1,1,1,1,2,2,1,1,98,98,1,98,2,2,2,1,4,3,2,2,4,1,4,2,1,3,98,4,98,98,98,1,1,4,4,4,4,3,3,3,3,3,3,3,1,4, ,98, , , , , ,98,3,1,1,2,1,1,3,1,1,1,1,1,2, ,1,1,1, ,2,5, ,2,2,2,1,2,1,7,1,1,1,2,1,1,1,1,2,2,1,1,1,2,4,1,4,2,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,98,1,2,98,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2, , ,1,2,1,1,2,98,7,98,2,2,6,2, ,2, ,1,1, , ,1,1,4,3,1,1,3,2,2,1,2,2, ,2,2,2,1,2, ,1,1,1,1,1,1,2,2,2,2,1,1,1,3,1,3,1,1,1,1,1,1,2,3,3,2,1, , , , , , , ,2, ,3,3,1,4,2,1,1,1,1,1,1,1,2,2, ,2,1,9,5,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,4,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,1
1,6910,.403971078487034,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,98,98,1,2,2,2,2,2,2,2,4,4,4,1,4,1,1,2,4,4,4,4,2,1,1,1,1,2,1,3,3,3,1,1,3,3,1,4, ,5, , , , , ,98,1,1,1,1,1,2,1,1,1,2,2,2,2, ,2,1,1, ,2,2, ,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , ,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2, , ,2,2,2,1,2,1,7,1,2,2,2,2, ,1,2, , ,1,1,2,2,1,1,1,3,1,2,2,1,1,2, ,1,2,2,1,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , ,2, ,3,3,2,4,2,1,1,1,1,1,1,1,1,2, ,2,2,9,5,1,1,1,1,1,2, , , , ,1,1,2,1,24,3,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,2
1,6911,.265065242582626,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,1,4,3,4,4,4,1,1,1,1,1,4,4,4,4,3,1,1,4,4,4,4,3,3,3,1,4,3,3,1,4, ,98, , , , , ,98,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1, ,1,1, ,2,1,2,2,2,1,4,1,2,1,2,1,1,1,1,1,2,1,1,1,2,5,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1, , ,1,1,1,1,2,1,1,1,1,2,3,1, ,1,1, , ,2,2,2,2,1,1,1,3,3,2,2,3,1,1, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , ,2, ,3,3,2,4,2,1,1,1,1,1,1,1,1,2, ,2,1,9,5,1,2,1,1,2,2, , , , ,2,2,2,2,1,2,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,2
1,6912,.238440811899479,2,1,1,1,2,1,2,2,2,2,2,3,1,1,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,4,2,2,1,1,1,1,1,4,4,4,4,3,1,1,4,4,4,4,3,3,3,3,4,3,3,1,4, ,98, , , , , ,98,2,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1, ,1,2, ,2,2,2,1,2,1,7,1,1,2,2,1,1,1,1,1,2,1,1,1,2,6,7,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,1, , ,1,2,1,1,1,1,1,1,1,2,3,2, ,1,1, , ,2,2,2,2,1,1,1,1,3,2,1,1,1,1, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2, , , ,2,2, , , , , ,4,3,2,4,2,1,1,1,1,1,1,1,1,1, ,2,1,9,5,1,1,1,2,2,2, , , , ,1,1,2,3,1,1,4,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,2
1,6913,.321704219369405,1,1,1,2,2,2,2,2,2,2,2,4,1,1,4,4,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,2,1,1,1,1,4,1,4,4,4,4,1,1,1,1,1,1,3,3,3,1,1,3,3,2,1,97, ,98, , , , ,98,4,1,1,1,1,1,1,1,2,2,2,2, ,1,1,1, ,1,2,1,2, ,2,2,2,2,1,6,4,1,2, ,1,1,1,1,1,2,1,2,1,2,6,6,1,2,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , ,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,1,1, , , ,1,1,2,2,1,1,1, , ,1,1,2, ,1,1, , ,1,1,1,1,1,3,3,2,1,1,1,1,2, ,2,2,2,2,1, ,1,1,1,1,1,1,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2, ,2, , , , , , , , ,4,3,1,4,2,1,1,1,1,1,1,1,1,1, ,2,1,9,5,1,1,1,1,1,1,2,1,2,1,2,2,2,3,1,2,2,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,1
1,6914,.280150930943834,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,4,2,3,4,3,1,1,1,1,1,3,4,4,3,3,2,2,2,2,2,2,3,3,3,1,2,3,3,1,4, ,98, , , , , ,98,2,1,1,1,1,2,1,1,2,1,1,1,1, ,97,1,1, ,2,4, ,2,2,2,2,2,1,5,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,6,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2, , ,2,2,1,1,98,1,1,1,1,2,3,2, ,1,1, , ,2,1,1,1,1,1,1,3,3,2,2,1,3,3, ,2,2,2,2,2, ,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , ,2, ,2,3,2,4,2,1,1,1,1,1,1,1,1,2, ,1,24,9,5,2,1,1,1,1,1,2,2,2,2,1,2,2,1,24,2,2,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,2
1,6915,.369817408488824,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,3,1,1,1,2,2,2,2,2,2,2,2,4,3,4,4,2,1,3,1,1,1,2,2,2,4,2,1,1,2,2,2,2,3,3,3,1,3,3,3,1,4, ,5, , , , , ,98,3,1,1,1,1,1,1,1,1,1,1,1,2, ,1,1,1, ,2,3, ,2,2,2,2,2,7,7,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1, , ,1,1,1,1,1,1,5,1,1,2,4,2, ,1,2, , ,2,1,2,1,1,1,1,3,1,2,2,1,3,3, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1, , , , , , , ,1, ,2,3,2,4,2,1,1,1,1,1,2,1,2,2, ,2,995,9,5,1,1,1,1,2,2, , , , ,2,2,2,3,25,98,98,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,2
1,6916,.423982993648655,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,4,2,1,1,1,1,1,4,4,4,4,4,1,1,4,4,4,4,3,3,3,1,1,3,3,1,5, ,98, , , , , ,98,4,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1, ,1,3, ,2,2,2,2,2,1,4,1,2,2,2,1,1,1,1,1,2,1,1,1,2,4,2,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1, , ,1,1,1,1,2,2,1,1,1,2,3,2, ,2, ,1,1, , ,1,1,1,1,1,3,3,2,1,1,1,1, ,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, , , ,2,2, , , , , ,3,3,2,4,2,1,1,1,1,1,3,3,3,1, ,2,1,9,5,2,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,3,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,5,2
